Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Statistical Errors in Software Engineering Experiments: A Preliminary Literature Review","R. P. Reyes Ch.; O. Dieste; E. R. Fonseca C.; N. Juristo","Univ. Politec. de Madrid, Madrid, Spain; Univ. Politec. de Madrid, Madrid, Spain; ; Univ. Politec. de Madrid, Madrid, Spain","2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)","","2018","","","1195","1206","Background: Statistical concepts and techniques are often applied incorrectly, even in mature disciplines such as medicine or psychology. Surprisingly, there are very few works that study statistical problems in software engineering (SE). Aim: Assess the existence of statistical errors in SE experiments. Method: Compile the most common statistical errors in experimental disciplines. Survey experiments published in ICSE to assess whether errors occur in high quality SE publications. Results: The same errors as identified in others disciplines were found in ICSE experiments, where 30 of the reviewed papers included several error types such as: a) missing statistical hypotheses, b) missing sample size calculation, c) failure to assess statistical test assumptions, and d) uncorrected multiple testing. This rather large error rate is greater for research papers where experiments are confined to the validation section. The origin of the errors can be traced back to: a) researchers not having sufficient statistical training, and b) a profusion of exploratory research. Conclusions: This paper provides preliminary evidence that SE research suffers from the same statistical problems as other experimental disciplines. However, the SE community appears to be unaware of any shortcomings in its experiments, whereas other disciplines work hard to avoid these threats. Further research is necessary to find the underlying causes and set up corrective measures, but there are some potentially effective actions and are a priori easy to implement: a) improve the statistical training of SE researchers, and b) enforce quality assessment and reporting guidelines in SE publications.","","","10.1145/3180155.3180161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453201","Literature review;Survey;Prevalence;Statistical errors","Software engineering;Bibliographies;Training;Guidelines;Error analysis;Back","psychology;research and development;software engineering;statistical testing","software engineering experiments;SE experiments;high quality SE publications;ICSE experiments;statistical hypotheses;statistical test assumptions;SE community;SE researchers;quality assessment;statistical errors;statistical training;SE research","","","","","","","","IEEE","IEEE Conferences"
"Statistical Errors in Software Engineering Experiments: A Preliminary Literature Review","R. P. Reyes Ch.; O. Dieste; E. R. Fonseca C.; N. Juristo","Univ. Politec. de Madrid, Madrid, Spain; Univ. Politec. de Madrid, Madrid, Spain; ; Univ. Politec. de Madrid, Madrid, Spain","2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)","","2018","","","1195","1206","Background: Statistical concepts and techniques are often applied incorrectly, even in mature disciplines such as medicine or psychology. Surprisingly, there are very few works that study statistical problems in software engineering (SE). Aim: Assess the existence of statistical errors in SE experiments. Method: Compile the most common statistical errors in experimental disciplines. Survey experiments published in ICSE to assess whether errors occur in high quality SE publications. Results: The same errors as identified in others disciplines were found in ICSE experiments, where 30 of the reviewed papers included several error types such as: a) missing statistical hypotheses, b) missing sample size calculation, c) failure to assess statistical test assumptions, and d) uncorrected multiple testing. This rather large error rate is greater for research papers where experiments are confined to the validation section. The origin of the errors can be traced back to: a) researchers not having sufficient statistical training, and b) a profusion of exploratory research. Conclusions: This paper provides preliminary evidence that SE research suffers from the same statistical problems as other experimental disciplines. However, the SE community appears to be unaware of any shortcomings in its experiments, whereas other disciplines work hard to avoid these threats. Further research is necessary to find the underlying causes and set up corrective measures, but there are some potentially effective actions and are a priori easy to implement: a) improve the statistical training of SE researchers, and b) enforce quality assessment and reporting guidelines in SE publications.","","","10.1145/3180155.3180161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453201","Literature review;Survey;Prevalence;Statistical errors","Software engineering;Bibliographies;Training;Guidelines;Error analysis;Back","psychology;research and development;software engineering;statistical testing","software engineering experiments;SE experiments;high quality SE publications;ICSE experiments;statistical hypotheses;statistical test assumptions;SE community;SE researchers;quality assessment;statistical errors;statistical training;SE research","","","","","","","","IEEE","IEEE Conferences"
"Synthesizing Qualitative Research in Software Engineering: A Critical Review","X. Huang; H. Zhang; X. Zhou; M. Ali Babar; S. Yang","State Key Lab. of Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. of Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. of Novel Software Technol., Nanjing Univ., Nanjing, China; Sch. of Comput. Sci., Univ. of Adelaide, Adelaide, SA, Australia; State Key Lab. of Novel Software Technol., Nanjing Univ., Nanjing, China","2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)","","2018","","","1207","1218","Synthesizing data extracted from primary studies is an integral component of the methodologies in support of Evidence Based Software Engineering (EBSE) such as System Literature Review (SLR). Since a large and increasing number of studies in Software Engineering (SE) incorporate qualitative data, it is important to systematically review and understand different aspects of the Qualitative Research Synthesis (QRS) being used in SE. We have reviewed the use of QRS methods in 328 SLRs published between 2005 and 2015. We also inquired the authors of 274 SLRs to confrm whether or not any QRS methods were used in their respective reviews. 116 of them provided the responses, which were included in our analysis. We found eight QRS methods applied in SE research, two of which, narrative synthesis and thematic synthesis, have been predominantly adopted by SE researchers for synthesizing qualitative data. Our study determines that a signifcant amount of missing knowledge and incomplete understanding of the defned QRS methods in the community. Our effort also identifes an initial set factors that may in?uence the selection and use of appropriate QRS methods in SE.","","","10.1145/3180155.3180235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453202","research synthesis;qualitative (synthesis) methods;systematic (literature) review;evidence-based software engineering","Software engineering;Data mining;Bibliographies;Software;Systematics;Tools;Data models","reviews;software engineering","Software Engineering;critical Review;primary studies;integral component;System Literature Review;qualitative data;Qualitative Research Synthesis;SE research;SE researchers;defned QRS methods;appropriate QRS methods;SLR","","","","","","","","IEEE","IEEE Conferences"
"A comparative study between two single-stage LED drivers: A sole converter versus an integrated topology","G. M. Soares; P. S. Almeida; D. P. Pinto; H. A. C. Braga","Modern Lighting Research Group - NIMO, Federal University of Juiz de Fora - UFJF, MG - Brazil; Modern Lighting Research Group - NIMO, Federal University of Juiz de Fora - UFJF, MG - Brazil; Modern Lighting Research Group - NIMO, Federal University of Juiz de Fora - UFJF, MG - Brazil; Modern Lighting Research Group - NIMO, Federal University of Juiz de Fora - UFJF, MG - Brazil","2012 10th IEEE/IAS International Conference on Industry Applications","","2012","","","1","8","This work proposes a comparison between two different approaches for LED driving, based on the Ćuk converter operating in discontinuous conduction mode and an integrated SEPIC Buck-Boost converter. A brief analysis of each converter is carried out and a design methodology is presented, focused in reducing output filtering capacitance, still achieving acceptable current ripple on the output and eliminating the need for electrolytic capacitors. The LED photometric performance under different ripple conditions has been analyzed to aid the design methodology in order to optimize output current ripple selection and capacitor reduction. The control strategy for each converter was presented and validated experimentally. Experimental results were obtained for both converters from two prototypes feeding 56 series-associated high-power LEDs from 220 VAC-60 Hz mains.","","","10.1109/INDUSCON.2012.6453204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6453204","","Capacitors;Light emitting diodes;Topology;Frequency conversion;Design methodology;Capacitance;Inductance","driver circuits;light emitting diodes;photometry;power convertors;radiofrequency filters","single-stage LED driver;topology integration;Ćuk converter;discontinuous conduction mode;integrated SEPIC buck-boost converter;output filtering capacitance;current ripple;electrolytic capacitor reduction;LED photometric performance;optimize output current ripple selection;series-associated high-power LED;voltage 220 V;frequency 60 Hz","","6","","","","","","IEEE","IEEE Conferences"
"Divide-and-warp temporal alignment of speech signals between speakers: Validation using articulatory data","S. M. Jayanthi; L. Ménard; C. Laporte","Department of Electronics and Electrical Engineering, Indian Institute of Technology, Guwahati, India; Department of Electrical Engineering, École de technologie supérieure, Canada; Department of Linguistics, University of Quebec in Montreal, Canada","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5465","5469","Meaningful comparisons between sets of speech-induced, dynamically evolving articulatory measurements require that the data be temporally aligned in a manner invariant to speech rate discrepancies. The best known approach to this problem is to apply dynamic time warping (DTW) to the corresponding audio signals. While the usefulness of DTW methods is well established in automatic speech recognition, they were never directly and quantitatively validated as a way of aligning and comparing signals from different speakers in a way that is useful for the study of speech as a biological process. This paper provides the first direct quantitative validation of such an audio-based temporal alignment algorithm, itself based on a new divide-and-warp strategy, using speaker invariant temporal landmarks from articulatory data. Results demonstrate that the proposed temporal alignment algorithm accurately brings these landmarks into correspondence between speakers (mean absolute delay of ~ 35ms).","","","10.1109/ICASSP.2017.7953201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953201","Temporal alignment;dynamic time warping;between-speaker comparisons;validation;articulatory measurements","Speech;Time measurement;Lips;Tongue;Speech recognition;Heuristic algorithms","speaker recognition;time warp simulation","speaker invariant temporal landmarks;divide-and-warp strategy;audio-based temporal alignment algorithm;direct quantitative validation;audio signals;DTW;dynamic time warping;speech rate discrepancies;dynamically evolving articulatory measurements;speech-induced articulatory measurements;time 35 ms","","","","","","","","IEEE","IEEE Conferences"
"Dirichlet process mixture models for clustering i-vector data","S. Seshadri; U. Remes; O. Räsänen","Aalto University, Department of Signal Processing and Acoustics, Finland; Aalto University, Department of Signal Processing and Acoustics, Finland; Aalto University, Department of Signal Processing and Acoustics, Finland","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5470","5474","Non-parametric Bayesian methods have recently gained popularity in several research areas dealing with unsupervised learning. These models are capable of simultaneously learning the cluster models as well as their number based on properties of a dataset. The most commonly applied models are using Dirichlet process priors and Gaussian models, called as Dirichlet process Gaussian mixture models (DPGMMs). Recently, von Mises-Fisher mixture models (VMMs) have also been gaining popularity in modelling high-dimensional unit-normalized features such as text documents and gene expression data. VMMs are potentially more efficient in modeling certain speech representations such as i-vector data when compared to the GMM-based models, as they work with unit-normalized features based on cosine distance. The current work investigates the applicability of Dirichlet process VMMs (DPVMMs) for i-vector-based speaker clustering and verification, showing that they indeed show superior performance in comparison to DPGMMs in the tasks. In addition, we introduce an implementation of the DPVMMs with variational inference that is publicly available for use.","","","10.1109/ICASSP.2017.7953202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953202","Non-parametric methods;speaker clustering;unsupervised learning;variational inference;von Mises-Fisher mixtures","Data models;Mathematical model;Mixture models;Virtual machine monitors;Estimation;Parameter estimation;Random variables","Bayes methods;Gaussian processes;mixture models;pattern clustering;speaker recognition;unsupervised learning","ivector data clustering;nonparametric Bayesian methods;unsupervised learning;dirichlet process Gaussian mixture models;DPGMM;von Mises-Fisher mixture models;VMM;speaker clustering;speaker verification","","","","","","","","IEEE","IEEE Conferences"
"Modification on LSA speech enhancement for speech recognition","C. H. You; B. Ma; C. Ni","Institute for Infocomm Research, A*STAR, Singapore; Institute for Infocomm Research, A*STAR, Singapore; Institute for Infocomm Research, A*STAR, Singapore","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5475","5479","Speech recognition performance deteriorates in face of unknown noise. Speech enhancement offers a solution by reducing the noise in speech at runtime. However, it also introduces artificial distortions to the speech signals. In this paper, we aim at reducing the artifacts that has adverse effects on speech recognition. With this motivation, we propose a modification scheme including smoothing adaptation to frame SNR and reestimation of a priori SNR for spectral-domain log-spectral-amplitude (LSA) speech enhancement. The experiments show that the proposed scheme of enhancement significantly improves the performance of the state-of-the-art speech recognition over the baseline speech enhancement.","","","10.1109/ICASSP.2017.7953203","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953203","speech enhancement;speech recognition;a priori SNR","Speech;Signal to noise ratio;Speech enhancement;Speech recognition;Estimation;Smoothing methods;Noise measurement","speech enhancement;speech recognition","LSA speech enhancement;speech recognition;smoothing adaptation to frame SNR;signal-to-noise ratio;log-spectral-amplitude;baseline speech enhancement","","2","","","","","","IEEE","IEEE Conferences"
"A deep neural network integrated with filterbank learning for speech recognition","H. Seki; K. Yamamoto; S. Nakagawa","Department of Computer Science and Engineering, Toyohashi University of Technology, Japan; Department of Computer Science and Engineering, Toyohashi University of Technology, Japan; Department of Computer Science and Engineering, Toyohashi University of Technology, Japan","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5480","5484","Deep neural networks (DNN) have achieved significant success in the field of speech recognition. One of the main advantages of the DNN is automatic feature extraction without human intervention. Therefore, we incorporate a pseudo-filterbank layer to the bottom of DNN and train the whole filterbank layer and the following networks jointly, while most systems take pre-defined mel-scale filterbanks as acoustic features to DNN. In the experiment, we use Gaussian functions instead of triangular mel-scale filterbanks. This technique enables a filterbank layer to maintain the functionality of frequency domain smoothing. The proposed method provides an 8.0% relative improvement in clean condition on ASJ+JNAS corpus and a 2.7% relative improvement on noise-corrupted ASJ+JNAS corpus compared with traditional fully-connected DNN. Experimental results show that the frame-level transformation of filterbank layer constrains flexibility and promotes learning efficiency in acoustic modeling.","","","10.1109/ICASSP.2017.7953204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953204","automatic speech recognition;deep neural networks;acoustic models;filterbank learning;data-driven filterbank","Feature extraction;Training;Acoustics;Speech;Adaptation models;Hidden Markov models;Neural networks","acoustic signal processing;channel bank filters;feature extraction;frequency-domain analysis;Gaussian distribution;neural nets;speech recognition","speech recognition;deep neural network;filterbank learning;automatic feature extraction;pseudofilterbank layer;acoustic features;Gaussian functions;triangular mel-scale filterbanks;frequency domain smoothing;noise-corrupted ASJ-JNAS corpus;acoustic modeling","","7","","","","","","IEEE","IEEE Conferences"
"Automatic node selection for Deep Neural Networks using Group Lasso regularization","T. Ochiai; S. Matsuda; H. Watanabe; S. Katagiri","Graduate School of Science and Engineering, Doshisha University, Kyoto, Japan; Graduate School of Science and Engineering, Doshisha University, Kyoto, Japan; Advanced Telecommunications Research Institute International, Kyoto, Japan; Graduate School of Science and Engineering, Doshisha University, Kyoto, Japan","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5485","5489","We examine the effect of the Group Lasso (gLasso) regularizer in selecting the salient nodes of Deep Neural Network (DNN) hidden layers by applying a DNN-HMM hybrid speech recognizer to TED Talks speech data. We test two types of gLasso regularization, one for outgoing weight vectors and another for incoming weight vectors, as well as two sizes of DNNs: 2048 hidden layer nodes and 4096 nodes. Furthermore, we compare gLasso and L2 regularizers. Our experiment results demonstrate that our DNN training, in which the gLasso regularizer was embedded, successfully selected the hidden layer nodes that are necessary and sufficient for achieving high classification power.","","","10.1109/ICASSP.2017.7953205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953205","Deep neural networks;Group Lasso regularization;Speech recognition","Training;Speech recognition;Speech;Neural networks;Minimization;Hidden Markov models;Standards","hidden Markov models;neural nets;speech recognition","weight vectors;TED Talks speech data;DNN-HMM hybrid speech recognizer;DNN hidden layer node;gLasso regularizer;group Lasso regularization;deep neural networks;automatic node selection","","2","","","","","","IEEE","IEEE Conferences"
"Applying compensation techniques on i-vectors extracted from short-test utterances for speaker verification using deep neural network","I. Yang; H. Heo; S. Yoon; H. Yu","School of Computer Science, University of Seoul, Korea; School of Computer Science, University of Seoul, Korea; School of Computer Science, University of Seoul, Korea; School of Computer Science, University of Seoul, Korea","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5490","5494","We propose a method to improve speaker verification performance when a test utterance is very short. In some situations with short test utterances, performance of ivector/probabilistic linear discriminant analysis systems degrades. The proposed method transforms short-utterance feature vectors to adequate vectors using a deep neural network, which compensate for short utterances. To reduce the dimensionality of the search space, we extract several principal components from the residual vectors between every long utterance i-vector in a development set and its truncated short utterance i-vector. Then an input i-vector of the network is transformed by linear combination of these directions. In this case, network outputs correspond to weights for linear combination of principal components. We use public speech databases to evaluate the method. The experimental results on short2-10sec condition (det6, male portion) of the NIST 2008 speaker recognition evaluation corpus show that the proposed method reduces the minimum detection cost relative to the baseline system, which uses linear discriminant analysis transformed i-vectors as features.","","","10.1109/ICASSP.2017.7953206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953206","speaker verification;i-vector;deep neural network;principal components analysis","Training;Feature extraction;Principal component analysis;Linear discriminant analysis;NIST;Testing;Neural networks","feature extraction;neural nets;principal component analysis;probability;speaker recognition;vectors","compensation techniques;i-vectors extraction;short-test utterances;speaker verification;deep neural network;probabilistic linear discriminant analysis systems;feature vectors;search space dimensionality reduction;principal component extraction;residual vectors;truncated short utterance i-vector;network input i-vector;principal component linear combination;public speech databases;NIST 2008 speaker recognition evaluation corpus","","2","","","","","","IEEE","IEEE Conferences"
