"28 CHOOSING A BALANCED LIFE","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","279","289","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910000","","","","","","","","","","","","MIT Press","IEEE Conferences"
"19 A FLASH OF INSPIRATION","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","183","192","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910001","","","","","","","","","","","","MIT Press","IEEE Conferences"
"30 RISKS, LEAPS, AND A SUPPORT NETWORK","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","301","306","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910002","","","","","","","","","","","","MIT Press","IEEE Conferences"
"PREFACE","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","ix","xi","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910003","","","","","","","","","","","","MIT Press","IEEE Conferences"
"32 DISAPPOINTMENTS AND SUCCESSES","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","319","326","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910004","","","","","","","","","","","","MIT Press","IEEE Conferences"
"18 THE LONG WAY ROUND","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","173","182","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910005","","","","","","","","","","","","MIT Press","IEEE Conferences"
"ACKNOWLEDGMENTS","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","xiii","xiv","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910006","","","","","","","","","","","","MIT Press","IEEE Conferences"
"HOW TO READ THIS BOOK","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","xv","xvi","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910007","","","","","","","","","","","","MIT Press","IEEE Conferences"
"14 TROUBLESHOOTER AND LEADER","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","115","124","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910008","","","","","","","","","","","","MIT Press","IEEE Conferences"
"27 RECLAIMING MY DREAM","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","265","278","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910009","","","","","","","","","","","","MIT Press","IEEE Conferences"
"8 PERSONAL CONNECTIONS AND SERENDIPITY","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","55","63","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910010","","","","","","","","","","","","MIT Press","IEEE Conferences"
"12 MY DREAM JOB","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","91","101","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910011","","","","","","","","","","","","MIT Press","IEEE Conferences"
"IV SUMMARY","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","360","360","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910012","","","","","","","","","","","","MIT Press","IEEE Conferences"
"FIND YOUR PATH: Unconventional Lessons from 36 Leading Scientists and Engineers","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","1","8","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910013","","","","","","","","","","","","MIT Press","IEEE Conferences"
"21 AN UNFAIR ADVANTAGE","D. Goodman","Hertz Foundation","Find Your Path: Unconventional Lessons from 36 Leading Scientists and Engineers","","","","","203","209","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910014","","","","","","","","","","","","MIT Press","IEEE Conferences"
"Analysis of a Round Punch with Help of Motion Animation and EMG","D. Lapkova","Tomas Bata University in Zlín","2018 2nd European Conference on Electrical Engineering and Computer Science (EECS)","","2018","","","147","151","","","","10.1109/EECS.2018.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910016","training;professional defense;round punch;motion analysis;EMG","Muscles;Electromyography;Training;Animation;Sensors;Visualization;Force","electromyography;sport","local muscle load;VICON system;direct punch;motion animation;round punch analysis;EMG sensors","","","","","","","","IEEE","IEEE Conferences"
"Analytical Solution of Transients in Single-Line-to-Ground Faults in Three-Phase Power Systems","D. Bellan","Politecnico di Milano Milan, Italy","2018 2nd European Conference on Electrical Engineering and Computer Science (EECS)","","2018","","","56","58","","","","10.1109/EECS.2018.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910017","Clarke transformation;power system analysis;time-domain analysis;transient analysis","Circuit faults;Transient analysis;Time-domain analysis;Power systems;Fault currents;Laplace equations","equivalent circuits;Laplace transforms;power engineering computing;power transmission faults;power transmission lines;time-domain analysis;transients","Laplace domain;fault current;straightforward evaluation;transient current;Simulink time-domain simulation;Clarke transformation;numerical techniques;analytical evaluation;three-phase power system;single-line-to-ground fault","","","","","","","","IEEE","IEEE Conferences"
"Design of a TG Based High Frequency Rectifier at 45 nm for RF Energy Harvesting Application","M. P. Sarma; K. K. Sarma; N. E. Mastorakis","Gauhati University, Assam, India; Gauhati University, Assam, India; Technical University of Sofia","2018 2nd European Conference on Electrical Engineering and Computer Science (EECS)","","2018","","","520","523","","","","10.1109/EECS.2018.00101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910018","Energy Harvesting, PCE, Transmission Gate","Europe;Electrical engineering;Computer science","energy harvesting;radiofrequency power transmission;rectifiers","communication systems;transmission gate based design;frequency response;RF energy harvesting application;TG based high frequency rectifier;percentage conversion efficiency;PCE;power 110.0 nW;size 45.0 nm;frequency 953.0 MHz;efficiency 80 percent","","","","","","","","IEEE","IEEE Conferences"
"Novel Optimal Design of Single-Phase Induction Motor by using BBO Methods","H. Golahmadi; S. Abdi; M. Noorelahialamdari","Research and Development Water Supply Company Tehran, Iran; Artificial Inteligence Researcher System Group Company Tehran, Iran; Yekom Consulting Engineers Company Tehran, Iran","2018 2nd European Conference on Electrical Engineering and Computer Science (EECS)","","2018","","","170","173","","","","10.1109/EECS.2018.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910019","Single phase induction motor;Genetic Algorithm;Particle Swarm Optimization;Biogeography Based Optimization","Induction motors;Windings;Rotors;Optimization;Genetic algorithms;Conductors;Mathematical model","genetic algorithms;induction motors;particle swarm optimisation;random processes;search problems","BBO method;random search methods;particle swarm optimization;biogeography based optimization algorithms;genetic algorithm;GA;PSO;single-phase induction motor design","","","","","","","","IEEE","IEEE Conferences"
"STATCOM using Packed U-Cell 5-Level Converter with New Control Algorithm","H. Al-Qatouni; A. Gastli; L. Ben-Brahim","Qatar University; Qatar University; Qatar University","2018 2nd European Conference on Electrical Engineering and Computer Science (EECS)","","2018","","","11","15","","","","10.1109/EECS.2018.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8910020","FACTs;STATCOM;Packed-UCell;PUC;5-level;converter","Capacitors;Automatic voltage control;Switches;Reactive power;Pulse width modulation;Topology","capacitors;power grids;power system control;PWM power convertors;static VAr compensators;switching convertors","grid current;STATCOM;reactive power;active power;4-carrier PWM technique;capacitor voltages;packed U-cell 5-level converter;single-phase 5-level packed U-cell","","","","","","","","IEEE","IEEE Conferences"
